x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,0_1,0_2,0_3,0_4,0_5,0_6,0_7,0_8,0_9,0_10,0_11,0_12,0_13,0_14,0_15,0_16,0_17,0_18,0_19,0_20,Lable,Location
0.581715703,1.003673553,0.440980464,0.916067123,0.359138936,0.770973802,0.341257811,0.626024604,0.338854581,0.510005295,0.415238708,0.609562337,0.379961133,0.503028274,0.389831901,0.63079685,0.407909781,0.736389697,0.483465612,0.609791875,0.440551311,0.500077784,0.447170258,0.651042283,0.463846296,0.771083832,0.554920912,0.619863927,0.511013508,0.536798298,0.513584614,0.695705175,0.528162003,0.81068635,0.630939484,0.643616855,0.578604937,0.586698592,0.567530632,0.699263036,0.576171875,0.784770608,0.165774829,0.322008683,0.447703839,0.550172585,0.427829686,0.539769027,0.419352393,0.318824652,0.40595056,0.523006773,0.377427198,0.260751176,0.384743798,0.472198374,0.315414596,0.200279953,0.363405843,0.416986565,0.304740839,0.218973134,A,C:\Users\Rahul\Desktop\project sign lang\DataSet_Pics\A2.jpg
0.481292337,0.713421941,0.362936199,0.670397997,0.282004595,0.550726593,0.263014227,0.424519897,0.253914714,0.326270878,0.33278048,0.403498501,0.3038885,0.309713006,0.308456391,0.40529719,0.319875568,0.497077405,0.389452964,0.390245795,0.351907134,0.292629302,0.357443929,0.417878777,0.372932315,0.52608484,0.452461809,0.391183466,0.408675969,0.296138674,0.413257957,0.433263391,0.429518789,0.543318152,0.525028706,0.406486511,0.476777673,0.349307001,0.469118983,0.450576931,0.477051377,0.53351438,0.125933456,0.257265195,0.362090768,0.448983885,0.343668896,0.440968282,0.353289012,0.269926529,0.335972159,0.440235137,0.320443739,0.216418769,0.323525631,0.423554556,0.28830104,0.177808321,0.310035849,0.364142928,0.263126756,0.179957539,A,C:\Users\Rahul\Desktop\project sign lang\DataSet_Pics\A3.jpg
0.34277612,0.724245608,0.22836329,0.690547526,0.148360044,0.567036927,0.126414448,0.443318903,0.113447033,0.342977941,0.199938759,0.413410306,0.164022446,0.324094564,0.167948112,0.429718614,0.186478481,0.522989213,0.253889233,0.398831964,0.199222356,0.310194671,0.207409129,0.434599251,0.233994141,0.537591636,0.316136479,0.393773019,0.250121087,0.314702392,0.260707408,0.455630243,0.288134724,0.562313139,0.389199972,0.40084067,0.314566106,0.354602873,0.315169871,0.458579928,0.340235084,0.540853798,0.119272194,0.250024359,0.354587346,0.444923436,0.342083464,0.438262175,0.342506909,0.254819717,0.337335024,0.438230375,0.319717429,0.216039867,0.33154457,0.419893559,0.280872725,0.170902915,0.326719953,0.370717623,0.26709616,0.183409413,A,C:\Users\Rahul\Desktop\project sign lang\DataSet_Pics\A4.jpg
0.63609761,0.908020973,0.50402844,0.836435556,0.42097652,0.702392578,0.396008819,0.563401878,0.394792825,0.452539921,0.472284317,0.555050373,0.445281714,0.444548607,0.451732159,0.558768332,0.46371302,0.657042027,0.537140906,0.548149228,0.504558563,0.440381408,0.509372294,0.580555499,0.522620678,0.688051879,0.605286956,0.554731131,0.572833002,0.461839199,0.574356079,0.609425306,0.583805442,0.716820717,0.67918998,0.576958299,0.6373173,0.517733812,0.629436612,0.623529494,0.634828568,0.701293707,0.150222294,0.297590525,0.420005891,0.515452217,0.389131134,0.501215862,0.394927876,0.304478043,0.373229289,0.485787283,0.351130948,0.247514477,0.354630807,0.450644634,0.3049121,0.19822212,0.333855428,0.390289067,0.284569448,0.206731161,A,C:\Users\Rahul\Desktop\project sign lang\DataSet_Pics\A5.jpg
0.553560019,0.689017773,0.431375533,0.654113054,0.346260816,0.534908652,0.328024805,0.40758425,0.320200861,0.30761528,0.392795622,0.387333125,0.368889898,0.298246861,0.380166382,0.398419738,0.395190179,0.489324927,0.454896629,0.371728778,0.420777977,0.279518336,0.433588237,0.407875389,0.452240914,0.51113677,0.520413458,0.37330538,0.48241353,0.281960249,0.490195453,0.422248513,0.505613029,0.52827549,0.59260118,0.389826536,0.548386872,0.331909686,0.543755889,0.435256988,0.552415848,0.516178131,0.127072372,0.258307144,0.360653519,0.447129017,0.34184619,0.432209393,0.338397061,0.254869061,0.332275143,0.430489093,0.305670196,0.20471251,0.317447648,0.413228327,0.274191368,0.167740858,0.301727706,0.357145554,0.253950107,0.172843429,A,C:\Users\Rahul\Desktop\project sign lang\DataSet_Pics\A6.jpg
0.504856825,0.539193571,0.39487505,0.521758318,0.312486947,0.416810721,0.293975621,0.300477892,0.285107046,0.212036401,0.355100036,0.274695873,0.330004573,0.192048788,0.340984195,0.283153057,0.356875688,0.365312934,0.411295891,0.254294693,0.379120767,0.170274988,0.391487867,0.290484667,0.410528928,0.384885371,0.472135067,0.251033157,0.434237033,0.165728524,0.442454845,0.296117097,0.459436953,0.392617613,0.541304708,0.26280278,0.500126243,0.212435484,0.49523434,0.310833037,0.503864348,0.387250602,0.111355193,0.227999412,0.318521674,0.394108841,0.303950864,0.388693723,0.303991749,0.228326286,0.299868335,0.389756946,0.273328812,0.180855668,0.290012306,0.380083275,0.250958521,0.153451869,0.278783639,0.326792328,0.228563176,0.15194621,A,C:\Users\Rahul\Desktop\project sign lang\DataSet_Pics\A7.jpg
0.687732995,0.615377069,0.58656621,0.577336192,0.51583904,0.483556896,0.496474266,0.378191531,0.494120061,0.296348244,0.55667156,0.36798653,0.550079167,0.285588652,0.557025015,0.361178905,0.562222719,0.435131073,0.608382404,0.362120122,0.599484444,0.282395959,0.605356038,0.38438797,0.610724926,0.469947994,0.659356058,0.368659168,0.652746558,0.294328183,0.651745319,0.400213808,0.651432276,0.485132098,0.711419642,0.388706416,0.702680171,0.336699933,0.694459021,0.413788587,0.689234614,0.478387833,0.108082499,0.216619688,0.304691451,0.373182742,0.279962816,0.357363927,0.285834362,0.219639359,0.265397056,0.344476742,0.24523851,0.164559589,0.248344464,0.32294959,0.218152106,0.135209077,0.227904897,0.279077703,0.201700658,0.136997466,A,C:\Users\Rahul\Desktop\project sign lang\DataSet_Pics\A8.jpg
0.432381213,0.761271954,0.377894014,0.732696474,0.341651112,0.673996806,0.332754314,0.615296364,0.334243923,0.568043172,0.369589299,0.606202602,0.36043942,0.573034763,0.360423565,0.617458701,0.362917095,0.656934619,0.399012148,0.604278624,0.387705535,0.578708708,0.389592886,0.635876119,0.394899994,0.680844903,0.428952128,0.609077513,0.416784614,0.587785721,0.415369451,0.646685779,0.417935848,0.691808105,0.462091565,0.621273339,0.447320342,0.597441256,0.439458728,0.642677665,0.437181532,0.68118912,0.061525709,0.125892425,0.176732543,0.216721687,0.167300114,0.201516405,0.160810928,0.125345694,0.160500467,0.187950139,0.132495118,0.088731912,0.152233066,0.174185897,0.115842097,0.070949946,0.143116446,0.16451041,0.118805288,0.080226575,A,C:\Users\Rahul\Desktop\project sign lang\DataSet_Pics\A9.jpg
0.415483326,0.855673552,0.323048234,0.832870066,0.251226187,0.749178052,0.229176313,0.653063238,0.228513688,0.573052049,0.281651586,0.635450065,0.258569777,0.586396158,0.275009483,0.664479911,0.29237017,0.729176223,0.32676512,0.62220782,0.295869529,0.571088135,0.314937562,0.665153027,0.336540282,0.735502958,0.375137925,0.618722141,0.344338477,0.574962437,0.359739512,0.674080253,0.378505319,0.741624773,0.429485738,0.624510944,0.393137872,0.595008433,0.395456374,0.672353029,0.407248855,0.723708391,0.095206329,0.195759289,0.275247602,0.338869531,0.257700055,0.311660355,0.237250729,0.176517487,0.249754214,0.30870102,0.215424049,0.143780999,0.240361649,0.289586463,0.189956571,0.11989369,0.231586309,0.261621145,0.184411205,0.132221821,A,C:\Users\Rahul\Desktop\project sign lang\DataSet_Pics\A10.jpg
0.380552024,0.912971139,0.26623866,0.832409918,0.19451344,0.663253665,0.176846296,0.524277747,0.165793225,0.408603966,0.264006138,0.519661427,0.215585917,0.466294348,0.219513893,0.59179318,0.232269704,0.683885515,0.329440087,0.515329659,0.263346821,0.485640049,0.278303742,0.62974602,0.301307321,0.728821874,0.394842148,0.527553856,0.323538423,0.509314239,0.339446008,0.6563133,0.362647831,0.753512621,0.463505089,0.555665016,0.389048934,0.550034583,0.388801545,0.662246406,0.405127019,0.730869532,0.139848688,0.311398734,0.438837757,0.548185723,0.410213936,0.476165908,0.359288966,0.272888016,0.400912929,0.443112762,0.301116554,0.20047612,0.385682109,0.407663395,0.259928742,0.160460522,0.366809046,0.363036006,0.250860412,0.183752349,A,C:\Users\Rahul\Desktop\project sign lang\DataSet_Pics\A11.jpg
